name,clubCode,position,tierLabel,xg90,xa90,xgi90,dc90,cs_prob,ffpl_pgw,next6_pgw,role,draft_now,draft_x,spike_gw,impact,season_points,status,flags,role_note
Pope,NEW,GK,2,0.0,0.0,0.0,0.0,0.28,3.42,3.12,0.75,2.34,2.33,3.74,2.48,0.0,a,,
Ayari,BHA,MID,2,0.13,0.07,0.2,9.93,0.27,2.48,2.38,1.0,2.38,2.29,2.77,2.43,2.0,a,,
Gudmundsson,LEE,DEF,2,0.04,0.09,0.13,6.55,0.25,3.21,3.04,0.75,2.28,2.38,3.37,2.42,0.0,i,,
Minteh,BHA,MID,2,0.14,0.18,0.32,7.17,0.27,3.26,3.12,0.75,2.34,2.31,3.58,2.42,0.0,i,,
Sessegnon,FUL,DEF,2,0.07,0.08,0.15,10.04,0.24,2.8,2.53,0.9,2.27,2.19,3.07,2.36,1.0,a,,
Kamada,CRY,MID,3,0.09,0.15,0.24,9.4,0.27,2.08,2.23,1.0,2.23,2.33,2.34,2.33,3.0,a,,
Lukić,IPS,MID,3,0.12,0.11,0.23,9.12,0.17,2.2,2.21,1.0,2.21,2.2,2.57,2.31,5.0,a,NEW-CLUB,
Ajer,BRE,DEF,2,0.04,0.04,0.08,9.12,0.25,2.05,2.18,1.0,2.18,2.19,2.38,2.25,8.0,a,,
McGinn,AVL,MID,1,0.13,0.16,0.29,6.68,0.24,2.34,2.09,1.0,2.09,2.02,2.62,2.2,1.0,a,,
Burn,NEW,DEF,2,0.05,0.02,0.07,8.91,0.28,3.02,2.75,0.75,2.06,2.02,3.25,2.14,0.0,i,,
Canvot,CRY,DEF,3,0.09,0.03,0.12,10.28,0.27,1.92,2.06,1.0,2.06,2.14,2.14,2.14,1.0,a,,
Hinshelwood,BHA,MID,2,0.22,0.12,0.35,6.44,0.27,2.17,2.08,1.0,2.08,2.05,2.35,2.14,16.0,d,DOUBT-25%,
Amad,MUN,MID,1,0.19,0.17,0.36,7.69,0.27,2.56,2.63,0.75,1.98,2.06,3.02,2.12,0.0,d,DOUBT-75%,
Reinildo,SUN,DEF,2,0.02,0.03,0.05,7.56,0.26,2.02,2.1,1.0,2.1,2.07,2.21,2.11,1.0,a,,
