web_name,short_name,position,price,proj_pgw,proj_season,proj_next6_pgw,value,exp_mins_gw,attack_pts,cs_pts,defcon_pts,save_pts,bonus_pts,appearance_pts,conceded_pts,card_pts,xg90,xa90,dc90,cs_prob,fdr_next6,selected_by_percent,status,flags
Okafor,LEE,MID,6.0,2.089,79.378,2.081,0.348,40.868,0.853,0.121,0.049,0.0,0.212,0.743,0.188,-0.077,0.256,0.091,6.941,0.251,3.167,0.6,a,
Hinshelwood,BHA,MID,6.0,2.055,78.092,2.055,0.343,45.684,0.787,0.145,0.034,0.0,0.069,0.831,0.21,-0.021,0.224,0.123,6.436,0.269,3.0,0.4,a,
Ajer,BRE,DEF,4.5,2.044,77.68,2.038,0.454,47.5,0.187,0.564,0.486,0.0,0.045,0.864,0.0,-0.102,0.04,0.041,9.167,0.252,3.167,2.7,a,
Tete,FUL,DEF,4.5,2.018,76.668,2.005,0.448,47.132,0.229,0.539,0.343,0.0,0.112,0.857,0.0,-0.062,0.049,0.069,8.204,0.243,3.333,0.3,a,
Tielemans,MUN,MID,6.0,2.014,76.549,2.019,0.336,48.868,0.424,0.156,0.27,0.0,0.087,0.889,0.21,-0.021,0.074,0.151,9.379,0.271,2.833,2.4,a,NEW-CLUB
Joelinton,NEW,MID,5.5,2.014,76.53,2.019,0.366,51.316,0.441,0.167,0.404,0.0,0.071,0.933,0.22,-0.223,0.114,0.078,10.272,0.277,2.833,0.1,i,
Smith Rowe,FUL,MID,5.5,2.013,76.511,2.001,0.366,50.237,0.612,0.144,0.075,0.0,0.054,0.913,0.257,-0.042,0.2,0.071,7.212,0.243,3.333,0.4,a,
Reijnders,MCI,MID,6.0,1.977,75.115,1.977,0.329,42.711,0.747,0.192,0.025,0.0,0.133,0.777,0.162,-0.059,0.222,0.13,6.196,0.382,3.0,0.2,u,
Kamada,CRY,MID,5.0,1.967,74.747,1.967,0.393,49.974,0.407,0.161,0.279,0.0,0.037,0.909,0.256,-0.082,0.09,0.147,9.402,0.273,3.0,0.3,a,
Fofana,CHE,DEF,5.0,1.965,74.653,1.965,0.393,45.211,0.183,0.535,0.584,0.0,0.078,0.822,0.0,-0.237,0.043,0.038,10.054,0.252,3.0,0.0,s,
Digne,AVL,DEF,4.5,1.96,74.484,1.96,0.436,48.474,0.397,0.546,0.105,0.0,0.113,0.881,0.0,-0.082,0.039,0.134,6.116,0.239,3.0,0.2,u,
